"","Regulator","Target","RegulatorType","TargetType","regulatory_Mechanism"
"129","MIR210HG","miR-503","lncRNA","miRNA","ceRNA or sponge"
"130","MALAT1","miR-142-3p","lncRNA","miRNA","ceRNA or sponge"
"131","SNHG16","MIR340","lncRNA","miRNA","ceRNA or sponge"
"132","LINC01518","miR-216b-5p","lncRNA","miRNA","ceRNA or sponge"
"133","SNHG8","MIR663A","lncRNA","miRNA","ceRNA or sponge"
"134","HOTAIR","miR-326","lncRNA","miRNA","ceRNA or sponge"
"135","MIR4435-2HG","MIR4288","lncRNA","miRNA","ceRNA or sponge"
"136","HOXA11-AS","miR-148a","lncRNA","miRNA","ceRNA or sponge"
"137","HOTAIR","miR-22","lncRNA","miRNA","ceRNA or sponge"
"138","MALAT1","MIR202","lncRNA","miRNA","ceRNA or sponge"
"139","MCM3AP-AS1","MIR455","lncRNA","miRNA","ceRNA or sponge"
"140","LINC00839","miR-454-3p","lncRNA","miRNA","ceRNA or sponge"
"141","ROR1-AS1","miR-375","lncRNA","miRNA","ceRNA or sponge"
"142","NEAT1","MIR361","lncRNA","miRNA","ceRNA or sponge"
"143","ZFAS1","miR-150-5p","lncRNA","miRNA","ceRNA or sponge"
"144","LINC00460","miR-1224-5p","lncRNA","miRNA","ceRNA or sponge"
"145","TONSL-AS1","MIR197","lncRNA","miRNA","ceRNA or sponge"
"146","CERNA2","let-7b","lncRNA","miRNA","ceRNA or sponge"
"147","ZFAS1","miR-27a","lncRNA","miRNA","ceRNA or sponge"
"148","HULC","MIR622","lncRNA","miRNA","ceRNA or sponge"
"149","CASC15","miR-130b-3p","lncRNA","miRNA","ceRNA or sponge"
"150","HOXA11-AS","miR-124","lncRNA","miRNA","ceRNA or sponge"
"151","LINC00887","MIR1-2","lncRNA","miRNA","ceRNA or sponge"
"152","MIR31HG","miR-214","lncRNA","miRNA","ceRNA or sponge"
"153","HOTAIR","MIR204","lncRNA","miRNA","ceRNA or sponge"
"154","TMPO-AS1","miR<U+2011>140<U+2011>5p","lncRNA","miRNA","ceRNA or sponge"
"155","UNC5B-AS1","miR-218-5p","lncRNA","miRNA","ceRNA or sponge"
"156","HULC","MIR133B","lncRNA","miRNA","ceRNA or sponge"
"157","MALAT1","miR-20b-5p","lncRNA","miRNA","ceRNA or sponge"
"158","UCA1","miR-185-5p","lncRNA","miRNA","ceRNA or sponge"
"159","GAS5","miR-222","lncRNA","miRNA","ceRNA or sponge"
"160","SLC2A1-DT","miR-508-5p","lncRNA","miRNA","ceRNA or sponge"
"161","LINC-PINT","miR-524-5p","lncRNA","miRNA","ceRNA or sponge"
"162","MEG3","miR-21","lncRNA","miRNA","ceRNA or sponge"
"163","H19","miR-106a-5p","lncRNA","miRNA","ceRNA or sponge"
"164","HAND2-AS1","MIR1275","lncRNA","miRNA","ceRNA or sponge"
"165","TPTEP1","miR-328-5p","lncRNA","miRNA","ceRNA or sponge"
"166","OIP5-AS1","miR-25-3p","lncRNA","miRNA","ceRNA or sponge"
"167","OIP5-AS1","miR-26a-5p","lncRNA","miRNA","ceRNA or sponge"
"168","GAS5","miR-223-3P","lncRNA","miRNA","ceRNA or sponge"
"169","MEG3","miR-149-3p","lncRNA","miRNA","ceRNA or sponge"
"170","SNHG1","miR-488-5p","lncRNA","miRNA","ceRNA or sponge"
"171","PVT1","miR-30d-5p","lncRNA","miRNA","ceRNA or sponge"
"172","MT1JP","miR-24-3p","lncRNA","miRNA","ceRNA or sponge"
"173","LOXL1-AS1","miR-143-3p","lncRNA","miRNA","ceRNA or sponge"
"174","MEG3","miR-184","lncRNA","miRNA","ceRNA or sponge"
"175","FTX","miR-374a","lncRNA","miRNA","ceRNA or sponge"
"176","LINC02245","MIR29C","lncRNA","miRNA","ceRNA or sponge"
"177","ATP2B1-AS1","MIR4729","lncRNA","miRNA","ceRNA or sponge"
"178","NIFK-AS1","miR-146a","lncRNA","miRNA","ceRNA or sponge"
"179","GAS5","miR-18a-5p","lncRNA","miRNA","ceRNA or sponge"
"180","UCA1","miR-138","lncRNA","miRNA","ceRNA or sponge"
"181","UCA1","MIR193A","lncRNA","miRNA","ceRNA or sponge"
"182","KCNQ1OT1","miR-146a-3p","lncRNA","miRNA","ceRNA or sponge"
"183","CDKN2B-AS1","miR-191","lncRNA","miRNA","ceRNA or sponge"
"184","FGF14-AS2","miR-205-5p","lncRNA","miRNA","ceRNA or sponge"
"185","TUSC7","miR-371a-5p","lncRNA","miRNA","ceRNA or sponge"
"186","LOXL1-AS1","miR-515-5p","lncRNA","miRNA","ceRNA or sponge"
"187","SMAD5-AS1","miR-135b-5p","lncRNA","miRNA","ceRNA or sponge"
"188","HOTAIR","miR-1","lncRNA","miRNA","ceRNA or sponge"
"189","UCA1","miR-495","lncRNA","miRNA","ceRNA or sponge"
"190","PCAT1","miR-3667-3p","lncRNA","miRNA","ceRNA or sponge"
"191","LINC01605","miR-493-3p","lncRNA","miRNA","ceRNA or sponge"
"192","PVT1","miR-190a-5p","lncRNA","miRNA","ceRNA or sponge"
"193","RHPN1-AS1","MIR4261","lncRNA","miRNA","ceRNA or sponge"
"194","SNHG15","miR-338-3p","lncRNA","miRNA","ceRNA or sponge"
"195","SNHG16","miR-342-3p","lncRNA","miRNA","ceRNA or sponge"
"196","SNHG6","miR-181a-5p","lncRNA","miRNA","ceRNA or sponge"
"197","FEZF1-AS1","miR-196a","lncRNA","miRNA","ceRNA or sponge"
"198","HOTTIP","miR-128-3p","lncRNA","miRNA","ceRNA or sponge"
"199","SCIRT","miR-146a","lncRNA","miRNA","ceRNA or sponge"
"200","LINC00460","MIR539","lncRNA","miRNA","ceRNA or sponge"
"201","H19","miR-22","lncRNA","miRNA","ceRNA or sponge"
"202","H19","miR-29a-3p","lncRNA","miRNA","ceRNA or sponge"
"203","H19","miR-29b-3p","lncRNA","miRNA","ceRNA or sponge"
"204","DBH-AS1","miR-138","lncRNA","miRNA","ceRNA or sponge"
"205","UCA1","miR-26a","lncRNA","miRNA","ceRNA or sponge"
"206","MIAT","miR-330-5p","lncRNA","miRNA","ceRNA or sponge"
"207","ZEB2-AS1","miR-27b","lncRNA","miRNA","ceRNA or sponge"
"208","CRNDE","miR-451a","lncRNA","miRNA","ceRNA or sponge"
"209","NEAT1","miR-506-3p","lncRNA","miRNA","ceRNA or sponge"
"210","NEAT1","miR-16","lncRNA","miRNA","ceRNA or sponge"
"211","NEAT1","MIR483","lncRNA","miRNA","ceRNA or sponge"
"212","NEAT1","miR-324-3p","lncRNA","miRNA","ceRNA or sponge"
"213","HOTAIR","MIR219A1","lncRNA","miRNA","ceRNA or sponge"
"214","DUXAP8","miR-26b-5p","lncRNA","miRNA","ceRNA or sponge"
"215","DLX6-AS1","miR-199a","lncRNA","miRNA","ceRNA or sponge"
"216","H19","miR-141","lncRNA","miRNA","ceRNA or sponge"
"217","DANCR","MIR214","lncRNA","miRNA","ceRNA or sponge"
"218","DLEU1","miR-4429","lncRNA","miRNA","ceRNA or sponge"
"219","TTN-AS1","miR-193a-5p","lncRNA","miRNA","ceRNA or sponge"
"220","MALAT1","miR-503-5p","lncRNA","miRNA","ceRNA or sponge"
"221","MALAT1","miR-181a-5p","lncRNA","miRNA","ceRNA or sponge"
"222","NKILA","miRNA-21","lncRNA","miRNA","ceRNA or sponge"
"223","MALAT1","miR-101","lncRNA","miRNA","ceRNA or sponge"
"224","NORAD","miR-214","lncRNA","miRNA","ceRNA or sponge"
"225","PCGEM1","miR-770-5p","lncRNA","miRNA","ceRNA or sponge"
"226","TUSC7","MIR211","lncRNA","miRNA","ceRNA or sponge"
"227","LINC00467","miR-451a","lncRNA","miRNA","ceRNA or sponge"
"228","PCGEM1","miR-145","lncRNA","miRNA","ceRNA or sponge"
"229","MALAT1","miR-96","lncRNA","miRNA","ceRNA or sponge"
"230","LUCAT1","miR-181a-5p","lncRNA","miRNA","ceRNA or sponge"
"231","MALAT1","MIR328","lncRNA","miRNA","ceRNA or sponge"
"232","OIP5-AS1","MIR641","lncRNA","miRNA","ceRNA or sponge"
"233","SNHG14","MIR340","lncRNA","miRNA","ceRNA or sponge"
"234","LUCAT1","MIR5702","lncRNA","miRNA","ceRNA or sponge"
"235","KCNQ1OT1","miR-24-3p","lncRNA","miRNA","ceRNA or sponge"
"236","SNHG8","miR-542-3p","lncRNA","miRNA","ceRNA or sponge"
"237","SNHG6","MIR4465","lncRNA","miRNA","ceRNA or sponge"
"238","SNHG16","miR-384","lncRNA","miRNA","ceRNA or sponge"
"239","PVT1","miR-133a","lncRNA","miRNA","ceRNA or sponge"
"240","NNT-AS1","miR-129-5p","lncRNA","miRNA","ceRNA or sponge"
"241","MIR4435-2HG","miR-6754-5p","lncRNA","miRNA","ceRNA or sponge"
"242","H19","miR-152","lncRNA","miRNA","ceRNA or sponge"
"243","HNF1A-AS1","miR-17-5p","lncRNA","miRNA","ceRNA or sponge"
"244","ZEB1-AS1","miR-335-5p","lncRNA","miRNA","ceRNA or sponge"
"245","NEAT1","miR-613","lncRNA","miRNA","ceRNA or sponge"
"246","HOXA-AS2","miR-520c-3p","lncRNA","miRNA","ceRNA or sponge"
"247","MIAT","miR-214","lncRNA","miRNA","ceRNA or sponge"
"248","XIST","miR-186-5p","lncRNA","miRNA","ceRNA or sponge"
"249","HOXA11-AS","miR-1297","lncRNA","miRNA","ceRNA or sponge"
"250","DLX6-AS1","miR-223","lncRNA","miRNA","ceRNA or sponge"
"251","FLVCR1-DT","miR-30b-3p","lncRNA","miRNA","ceRNA or sponge"
"252","GAS5","miR-1297","lncRNA","miRNA","ceRNA or sponge"
"253","EPIST","miR-149-5p","lncRNA","miRNA","ceRNA or sponge"
"254","SNHG7","MIR381","lncRNA","miRNA","ceRNA or sponge"
"255","SNHG14","miR-613","lncRNA","miRNA","ceRNA or sponge"
"256","NEAT1","miR-194","lncRNA","miRNA","ceRNA or sponge"
"257","MALAT1","miR-205","lncRNA","miRNA","ceRNA or sponge"
"258","SOX2-OT","MIR363","lncRNA","miRNA","ceRNA or sponge"
"259","UCA1","miR-26b","lncRNA","miRNA","ceRNA or sponge"
"260","UCA1","miR-193a","lncRNA","miRNA","ceRNA or sponge"
"261","UCA1","miR-214","lncRNA","miRNA","ceRNA or sponge"
"262","PART1","MIR122","lncRNA","miRNA","ceRNA or sponge"
"263","SNHG12","miR-16","lncRNA","miRNA","ceRNA or sponge"
"264","XIST","miR-34a","lncRNA","miRNA","ceRNA or sponge"
"265","NEAT1","miR-193a-3p","lncRNA","miRNA","ceRNA or sponge"
"266","MALAT1","miR-129-5p","lncRNA","miRNA","ceRNA or sponge"
"267","LINC01535","miR-761","lncRNA","miRNA","ceRNA or sponge"
"268","SNHG15","miR-141","lncRNA","miRNA","ceRNA or sponge"
"269","NORAD","miR-199a-3p","lncRNA","miRNA","ceRNA or sponge"
"270","GAPLINC","miR-382-5p","lncRNA","miRNA","ceRNA or sponge"
"271","GAPLINC","miR-575","lncRNA","miRNA","ceRNA or sponge"
"272","NEAT1","miR-146b-5p","lncRNA","miRNA","ceRNA or sponge"
"273","PART1","MIR4516","lncRNA","miRNA","ceRNA or sponge"
"274","SNHG4","miR-377-3p","lncRNA","miRNA","ceRNA or sponge"
"275","DBH-AS1","miR-233-3p","lncRNA","miRNA","ceRNA or sponge"
"276","MIAT","miR-613","lncRNA","miRNA","ceRNA or sponge"
"277","AFAP1-AS1","miR-195","lncRNA","miRNA","ceRNA or sponge"
"278","LINC-ROR","miR-206","lncRNA","miRNA","ceRNA or sponge"
"279","CRNDE","miR-384","lncRNA","miRNA","ceRNA or sponge"
"280","DLX6-AS1","miR-497-5p","lncRNA","miRNA","ceRNA or sponge"
"281","LINC00210","miR-328-5p","lncRNA","miRNA","ceRNA or sponge"
"282","AFAP1-AS1","miR-512-3p","lncRNA","miRNA","ceRNA or sponge"
"283","TPT1-AS1","miR-324-5p","lncRNA","miRNA","ceRNA or sponge"
"284","LINC01551","miR-122-5p","lncRNA","miRNA","ceRNA or sponge"
"285","MSC-AS1","miR-140-5p","lncRNA","miRNA","ceRNA or sponge"
"286","BCYRN1","miR-204-5p","lncRNA","miRNA","ceRNA or sponge"
"287","SNHG16","miR-200a-3p","lncRNA","miRNA","ceRNA or sponge"
"288","HAGLR","miR-204","lncRNA","miRNA","ceRNA or sponge"
"289","XIST","MIR137","lncRNA","miRNA","ceRNA or sponge"
"290","TTN-AS1","miR-4677-3p","lncRNA","miRNA","ceRNA or sponge"
"291","NEAT1","miR-34a-5p","lncRNA","miRNA","ceRNA or sponge"
"292","FAM225A","miR-590-3p","lncRNA","miRNA","ceRNA or sponge"
"293","FAM225A","MIR1275","lncRNA","miRNA","ceRNA or sponge"
"294","SNHG12","miR-195","lncRNA","miRNA","ceRNA or sponge"
"295","LINC-ROR","let-7family","lncRNA","miRNA","ceRNA or sponge"
"296","HAGLR","miR-133a-3p","lncRNA","miRNA","ceRNA or sponge"
"297","LINC00858","MIR3182","lncRNA","miRNA","ceRNA or sponge"
"298","FBXL19-AS1","MIR718","lncRNA","miRNA","ceRNA or sponge"
"299","SNHG16","miR-195","lncRNA","miRNA","ceRNA or sponge"
"300","MIAT","miR-133a","lncRNA","miRNA","ceRNA or sponge"
"301","UCA1","miR-144","lncRNA","miRNA","ceRNA or sponge"
"302","PVT1","miR-448","lncRNA","miRNA","ceRNA or sponge"
"303","FBXL19-AS1","miR-203a-3p","lncRNA","miRNA","ceRNA or sponge"
"304","GAS5","miR-301a","lncRNA","miRNA","ceRNA or sponge"
"305","BCYRN1","miR-138","lncRNA","miRNA","ceRNA or sponge"
"306","CDKN2B-AS1","miR-122-5p","lncRNA","miRNA","ceRNA or sponge"
"307","HOXA-AS2","miR-520a-3p","lncRNA","miRNA","ceRNA or sponge"
"308","LINC00511","miR-424","lncRNA","miRNA","ceRNA or sponge"
"309","ZFAS1","MIR647","lncRNA","miRNA","ceRNA or sponge"
"310","HOTTIP","miR-216a-5p","lncRNA","miRNA","ceRNA or sponge"
"311","PVT1","miR-519d-3p","lncRNA","miRNA","ceRNA or sponge"
"312","NEAT1","miR-506","lncRNA","miRNA","ceRNA or sponge"
"313","ZEB1-AS1","miR-200s","lncRNA","miRNA","ceRNA or sponge"
"314","LNCOC1","miR-34a","lncRNA","miRNA","ceRNA or sponge"
"315","LNCOC1","miR-34c","lncRNA","miRNA","ceRNA or sponge"
"316","LINC-PINT","MIR543","lncRNA","miRNA","ceRNA or sponge"
"317","LINC-PINT","miR-576-5p","lncRNA","miRNA","ceRNA or sponge"
"318","APTR","miR-126","lncRNA","miRNA","ceRNA or sponge"
"319","MALAT1","miR-203a-3p","lncRNA","miRNA","ceRNA or sponge"
"320","LINC00210","MIR328","lncRNA","miRNA","ceRNA or sponge"
"321","HOXA11-AS","miR-155","lncRNA","miRNA","ceRNA or sponge"
"322","LUCAT1","MIR539","lncRNA","miRNA","ceRNA or sponge"
"323","PSMG3-AS1","miR-143-3p","lncRNA","miRNA","ceRNA or sponge"
"324","LINC00662","miR-34a","lncRNA","miRNA","ceRNA or sponge"
"325","SNHG20","MIR197","lncRNA","miRNA","ceRNA or sponge"
"326","ZFAS1","miR-7-5p","lncRNA","miRNA","ceRNA or sponge"
"327","UCA1","miR-122","lncRNA","miRNA","ceRNA or sponge"
"328","SNHG15","miR-211-3p","lncRNA","miRNA","ceRNA or sponge"
"329","CDKN2B-AS1","miR-125a","lncRNA","miRNA","ceRNA or sponge"
"330","PICSAR","miR-4701-5p","lncRNA","miRNA","ceRNA or sponge"
"331","PCAT1","miR-124-3p","lncRNA","miRNA","ceRNA or sponge"
"332","TMPO-AS1","miR-383-5p","lncRNA","miRNA","ceRNA or sponge"
"333","FBXL19-AS1","miR-342-3p","lncRNA","miRNA","ceRNA or sponge"
"334","FOXD2-AS1","MIR4492","lncRNA","miRNA","ceRNA or sponge"
"335","PCGEM1","miR-152-3p","lncRNA","miRNA","ceRNA or sponge"
"336","CRNDE","miR-338-3p","lncRNA","miRNA","ceRNA or sponge"
"337","FEZF1-AS1","MIR4443","lncRNA","miRNA","ceRNA or sponge"
"338","LINC00324","miR-214-3p","lncRNA","miRNA","ceRNA or sponge"
"339","SNHG7","MIR425","lncRNA","miRNA","ceRNA or sponge"
"340","HAGLROS","miR-100","lncRNA","miRNA","ceRNA or sponge"
"341","PICSAR","MIR573","lncRNA","miRNA","ceRNA or sponge"
"342","LINC00667","miR-130a-3p","lncRNA","miRNA","ceRNA or sponge"
"343","XIST","miR-152","lncRNA","miRNA","ceRNA or sponge"
"344","SNHG1","miR-383-5p","lncRNA","miRNA","ceRNA or sponge"
"345","SNHG1","miR-377-3p","lncRNA","miRNA","ceRNA or sponge"
"346","GAPLINC","miR-331-3p","lncRNA","miRNA","ceRNA or sponge"
"347","SOX21-AS1","miR-144-3p","lncRNA","miRNA","ceRNA or sponge"
"348","ZFAS1","miR-135a","lncRNA","miRNA","ceRNA or sponge"
"349","FOXD2-AS1","MIR760","lncRNA","miRNA","ceRNA or sponge"
"350","HOXA11-AS","miR-125a","lncRNA","miRNA","ceRNA or sponge"
"351","MALAT1","miR-200a","lncRNA","miRNA","ceRNA or sponge"
"352","NPTN-IT1","miR-548k","lncRNA","miRNA","ceRNA or sponge"
"353","HCG22","miR-650","lncRNA","miRNA","ceRNA or sponge"
"354","PCAT1","miR-149-5p","lncRNA","miRNA","ceRNA or sponge"
"355","LINC01138","miR-1273e","lncRNA","miRNA","ceRNA or sponge"
"356","NEAT1","miR-153-3p","lncRNA","miRNA","ceRNA or sponge"
"357","SNHG6","MIR15A","lncRNA","miRNA","ceRNA or sponge"
"358","HOTTIP","miR-4301","lncRNA","miRNA","ceRNA or sponge"
"359","MIAT","miR-212","lncRNA","miRNA","ceRNA or sponge"
"360","H19","miR-200a","lncRNA","miRNA","ceRNA or sponge"
"361","CYTOR","miR-195","lncRNA","miRNA","ceRNA or sponge"
"362","SNHG1","miR-140-5p","lncRNA","miRNA","ceRNA or sponge"
"363","LMCD1-AS1","miR-106b-5p","lncRNA","miRNA","ceRNA or sponge"
"364","SNHG4","miR-98-5p","lncRNA","miRNA","ceRNA or sponge"
